species,stateProvince,locality,fecha,month,decimalLatitude,decimalLongitude,individualCount
Streptopelia turtur,Castilla y León,Pinares de San Román de Hornija,2017-07-11,7,41.461403,-5.291468,0.0
Streptopelia turtur,Murcia Región de,Saladares del Guadalentin ENP,2017-04-16,4,37.75382,-1.385608,0.0
Streptopelia turtur,Cataluña,La Riera de Gaià,2017-04-17,4,41.168015,1.352758,1.0
Streptopelia turtur,Castilla-La Mancha,"Quejigares de Barriopedro y Brihuega, ZEC",2017-06-14,6,40.796116,-2.789601,6.0
Streptopelia turtur,Cataluña,"La Molina, Sagàs",2017-04-30,4,42.01914,1.909561,1.0
Streptopelia turtur,Andalucía,La Janda--Área General,2017-08-08,8,36.238476,-5.788976,0.0
Streptopelia turtur,Canarias,Tenerife - El Suculum,2017-03-20,3,28.514349,-16.195047,0.0
Streptopelia turtur,Castilla y León,Monteagudo de las Vicarías--Villa y entorno,2017-06-29,6,41.363224,-2.166187,2.0
Streptopelia turtur,Valenciana Comunidad,L'Albufera PNat -- Área General,2017-09-11,9,39.3337,-0.3225,2.0
Streptopelia turtur,Canarias,Barranco de Palomares,2017-03-15,3,28.403585,-14.060204,0.0
Streptopelia turtur,Cataluña,Montsonis,2017-04-30,4,41.88773,1.021448,1.0
Streptopelia turtur,Castilla-La Mancha,La Yunta,2017-07-26,7,40.912598,-1.67086,0.0
Streptopelia turtur,Galicia,Santiago De Compostela,2017-06-15,6,42.87878,-8.54416,1.0
Streptopelia turtur,Castilla-La Mancha,La Yunta,2017-07-19,7,40.912598,-1.67086,0.0
Streptopelia turtur,Castilla-La Mancha,La Yunta,2017-04-23,4,40.912598,-1.67086,1.0
Streptopelia turtur,Valenciana Comunidad,Clot De Galvany,2017-07-21,7,38.243248,-0.529863,1.0
Streptopelia turtur,Valenciana Comunidad,Ayora--Palancares y Castellar de la Meca,2017-04-29,4,38.959618,-1.158689,6.0
Streptopelia turtur,Extremadura,ES-Trujillo (Arroyo de Albadelejo),2017-05-12,5,39.45764,-5.881186,2.0
Streptopelia turtur,Castilla y León,Valdevacas de Montejo--pinar,2017-05-02,5,41.51517,-3.639047,1.0
Streptopelia turtur,Cataluña,Spain - Claret drinking hide,2017-05-27,5,41.826195,1.460498,1.0
Streptopelia turtur,Andalucía,EDAR Fiñana,2017-09-02,9,37.167904,-2.827202,1.0
Streptopelia turtur,Extremadura,Corchuelas-15,2017-05-03,5,39.810402,-5.942332,1.0
Streptopelia turtur,Castilla y León,El Parral--Peña del Gato,2017-05-24,5,40.78212,-4.98554,5.0
Streptopelia turtur,Cataluña,Delta de l'Ebre PNat--Area general,2017-09-10,9,40.688366,0.82685,0.0
Streptopelia turtur,Extremadura,Llanos de Cáceres--General (use specific hotspot if possible),2017-05-06,5,39.431908,-6.198609,3.0
Streptopelia turtur,Castilla y León,Arribes del Duero PNat--Puerto de La Cicutina,2017-07-04,7,41.28238,-6.385589,3.0
Streptopelia turtur,Castilla y León,Arribes del Duero PNat--Poblado del Salto de Saucelle,2017-05-01,5,41.04254,-6.804619,1.0
Streptopelia turtur,Extremadura,Llanos de Cáceres--General (use specific hotspot if possible),2017-07-21,7,39.431908,-6.198609,17.0
Streptopelia turtur,Extremadura,Corchuelas-15,2017-05-26,5,39.810402,-5.942332,1.0
Streptopelia turtur,Castilla y León,Rábano--Pico de El Otero,2017-05-14,5,41.54023,-4.059776,1.0
Streptopelia turtur,Extremadura,Monfragüe PN--Portilla del Tiétar,2017-05-28,5,39.857,-5.959775,0.0
Streptopelia turtur,Cataluña,Delta del Llobregat PNat--Platja de Carrabiners,2017-04-10,4,41.29498,2.122856,1.0
Streptopelia turtur,Castilla y León,Rábano--Río Duratón,2017-05-13,5,41.52921,-4.059564,1.0
Streptopelia turtur,Andalucía,Doñana PN--Playa de Castilla,2017-04-13,4,36.877148,-6.431929,1.0
Streptopelia turtur,Extremadura,Corchuelas-13,2017-05-03,5,39.81041,-5.950985,1.0
Streptopelia turtur,Extremadura,Jaraicejo--Meseta de Deleitosa,2017-05-14,5,39.669483,-5.776555,1.0
Streptopelia turtur,Illes Baleares,Parc Nacional de l'Arxipèlag de Cabrera,2017-05-07,5,39.142498,2.938875,2.0
Streptopelia turtur,Extremadura,ES-Cabeza del Buey-Unnamed Road - 38.866x-5.314 - 4 May 2017 21:54,2017-05-04,5,38.865925,-5.313582,1.0
Streptopelia turtur,Extremadura,"Corchuelas-10 (39,818, -5,973)",2017-05-26,5,39.817677,-5.970236,1.0
Streptopelia turtur,Extremadura,38.685x-6.185 - 13 May 2017 10:14,2017-05-13,5,38.684807,-6.185121,1.0
Streptopelia turtur,Extremadura,"Corchuelas-6 (39,823, -6,005)",2017-05-03,5,39.822662,-6.004652,1.0
Streptopelia turtur,Cataluña,Delta del Llobregat PNat--La Ricarda,2017-05-03,5,41.292976,2.112916,1.0
Streptopelia turtur,Canarias,Buenavista,2017-04-04,4,28.372663,-16.849222,2.0
Streptopelia turtur,Andalucía,Cabo Gata PNat--Rambla Morales,2017-07-23,7,36.795506,-2.256617,0.0
Streptopelia turtur,Galicia,"A Parrocha, Paradela (42,795, -7,583)",2017-07-18,7,42.794777,-7.583078,1.0
Streptopelia turtur,Cataluña,Barcelona--Jardins del Mirador del Migdia,2017-09-12,9,41.3587,2.151475,1.0
Streptopelia turtur,Castilla y León,Topas--Monte de San Cristóbal,2017-08-18,8,41.226036,-5.667638,3.0
Streptopelia turtur,Illes Baleares,Parc Nacional de l'Arxipèlag de Cabrera,2017-05-06,5,39.142498,2.938875,7.0
Streptopelia turtur,Illes Baleares,Parc Nacional de l'Arxipèlag de Cabrera,2017-05-05,5,39.142498,2.938875,7.0
Streptopelia turtur,Cataluña,Delta de l'Ebre PNat--Badia dels Alfacs,2017-07-17,7,40.63042,0.727458,1.0
