species,stateProvince,locality,fecha,month,decimalLatitude,decimalLongitude,individualCount
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-07,11,43.02716,-1.356211,52.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-07,11,43.02716,-1.356211,133.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-15,11,43.02716,-1.356211,28.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-15,11,43.02716,-1.356211,17.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-02,11,43.02716,-1.356211,204.0
Grus grus,Extremadura,Malpartida de Plasencia--Vega del Haza,2017-01-21,1,39.91004,-5.922721,2500.0
Grus grus,Madrid Comunidad de,Batres--Arroyo del Sotillo,2017-10-14,10,40.211967,-3.921582,0.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-10-19,10,43.02716,-1.356211,29.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-02,11,43.02716,-1.356211,220.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-10-31,10,43.02716,-1.356211,612.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-02,11,43.02716,-1.356211,51.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-10-31,10,43.02716,-1.356211,180.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-02,11,43.02716,-1.356211,110.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-10-31,10,43.02716,-1.356211,450.0
Grus grus,Aragón,Gallocanta--Observatorio de La Ermita,2017-02-11,2,40.98581,-1.523795,0.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-10-31,10,43.02716,-1.356211,373.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-10-31,10,43.02716,-1.356211,173.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-15,11,43.02716,-1.356211,230.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-02,11,43.02716,-1.356211,39.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-10-14,10,43.02716,-1.356211,91.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-10-31,10,43.02716,-1.356211,375.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-10-31,10,43.02716,-1.356211,270.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-07,11,43.02716,-1.356211,22.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-07,11,43.02716,-1.356211,44.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-07,11,43.02716,-1.356211,29.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-10-26,10,43.02716,-1.356211,11.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-10-31,10,43.02716,-1.356211,1158.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-02,11,43.02716,-1.356211,415.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-02,11,43.02716,-1.356211,18.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-02,11,43.02716,-1.356211,533.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-02,11,43.02716,-1.356211,230.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-02,11,43.02716,-1.356211,267.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-10-31,10,43.02716,-1.356211,470.0
