gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
3609159970	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1161987867	Animalia	Chordata	Aves	Columbiformes	Columbidae	Streptopelia	Streptopelia turtur		SPECIES	Streptopelia turtur (Linnaeus, 1758)	Streptopelia turtur		ES	La Janda--Área General	Andalucía	PRESENT	10	e2e717bf-551a-4917-bdc9-4fa0f342c530	36.238476	-5.788976							2017-09-21T00:00:00	21	9	2017	2495708	2495708	HUMAN_OBSERVATION	CLO	EBIRD	OBS1161987867				CC_BY_4_0		obsr1244996			2023-01-24T15:27:59.379Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
3577416136	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1247690567	Animalia	Chordata	Aves	Columbiformes	Columbidae	Streptopelia	Streptopelia turtur		SPECIES	Streptopelia turtur (Linnaeus, 1758)	Streptopelia turtur		ES	Embalse de las Peñitas	Canarias	PRESENT	6	e2e717bf-551a-4917-bdc9-4fa0f342c530	28.38824	-14.0991							2017-06-25T00:00:00	25	6	2017	2495708	2495708	HUMAN_OBSERVATION	CLO	EBIRD	OBS1247690567				CC_BY_4_0		obsr162737			2023-01-24T15:30:45.051Z		CONTINENT_DERIVED_FROM_COORDINATES
3567465134	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1296153680	Animalia	Chordata	Aves	Columbiformes	Columbidae	Streptopelia	Streptopelia turtur		SPECIES	Streptopelia turtur (Linnaeus, 1758)	Streptopelia turtur		ES	Rincón de Ballesteros--Cº de Cordobilla	Extremadura	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	39.20739	-6.372175							2017-05-02T00:00:00	2	5	2017	2495708	2495708	HUMAN_OBSERVATION	CLO	EBIRD	OBS1296153680				CC_BY_4_0		obsr2078382			2023-01-24T15:14:00.464Z		CONTINENT_DERIVED_FROM_COORDINATES
3567412762	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1161966093	Animalia	Chordata	Aves	Columbiformes	Columbidae	Streptopelia	Streptopelia turtur		SPECIES	Streptopelia turtur (Linnaeus, 1758)	Streptopelia turtur		ES	Los Alcornocales PNat--El Cuartón	Andalucía	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	36.064583	-5.53482							2017-09-18T00:00:00	18	9	2017	2495708	2495708	HUMAN_OBSERVATION	CLO	EBIRD	OBS1161966093				CC_BY_4_0		obsr1244996			2023-01-24T15:24:09.516Z		CONTINENT_DERIVED_FROM_COORDINATES
3558715355	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1274419154	Animalia	Chordata	Aves	Columbiformes	Columbidae	Streptopelia	Streptopelia turtur		SPECIES	Streptopelia turtur (Linnaeus, 1758)	Streptopelia turtur		ES	Granja de Guatiza	Canarias	PRESENT	2	e2e717bf-551a-4917-bdc9-4fa0f342c530	29.042418	-13.487217							2017-09-13T00:00:00	13	9	2017	2495708	2495708	HUMAN_OBSERVATION	CLO	EBIRD	OBS1274419154				CC_BY_4_0		obsr950533			2023-01-24T15:12:49.867Z		CONTINENT_DERIVED_FROM_COORDINATES
3555477161	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1274409792	Animalia	Chordata	Aves	Columbiformes	Columbidae	Streptopelia	Streptopelia turtur		SPECIES	Streptopelia turtur (Linnaeus, 1758)	Streptopelia turtur		ES	PN Timanfaya -- Echadero de los Camellos	Canarias	PRESENT	2	e2e717bf-551a-4917-bdc9-4fa0f342c530	28.991474	-13.742394							2017-09-12T00:00:00	12	9	2017	2495708	2495708	HUMAN_OBSERVATION	CLO	EBIRD	OBS1274409792				CC_BY_4_0		obsr950533			2023-01-24T15:30:11.337Z		CONTINENT_DERIVED_FROM_COORDINATES
3545301170	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1304681919	Animalia	Chordata	Aves	Columbiformes	Columbidae	Streptopelia	Streptopelia turtur		SPECIES	Streptopelia turtur (Linnaeus, 1758)	Streptopelia turtur		ES	Cuenca Alta Manzanares PN--Bco Manzanares	Madrid Comunidad de	PRESENT	2	e2e717bf-551a-4917-bdc9-4fa0f342c530	40.630436	-3.796678							2017-09-04T00:00:00	4	9	2017	2495708	2495708	HUMAN_OBSERVATION	CLO	EBIRD	OBS1304681919				CC_BY_4_0		obsr994233			2023-01-24T15:09:26.967Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
3301117054	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1016883365	Animalia	Chordata	Aves	Columbiformes	Columbidae	Streptopelia	Streptopelia turtur		SPECIES	Streptopelia turtur (Linnaeus, 1758)	Streptopelia turtur		ES	Puerto de la Cruz--Jardín Botánico	Canarias	PRESENT		e2e717bf-551a-4917-bdc9-4fa0f342c530	28.411001	-16.535196							2017-03-20T00:00:00	20	3	2017	2495708	2495708	HUMAN_OBSERVATION	CLO	EBIRD	OBS1016883365				CC_BY_4_0		obsr1963809			2023-01-24T15:06:56.525Z		CONTINENT_DERIVED_FROM_COORDINATES
3300966662	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1007220903	Animalia	Chordata	Aves	Columbiformes	Columbidae	Streptopelia	Streptopelia turtur		SPECIES	Streptopelia turtur (Linnaeus, 1758)	Streptopelia turtur		ES	Cádiz--Terminal Marítimo	Andalucía	PRESENT		e2e717bf-551a-4917-bdc9-4fa0f342c530	36.53123	-6.288414							2017-06-16T00:00:00	16	6	2017	2495708	2495708	HUMAN_OBSERVATION	CLO	EBIRD	OBS1007220903				CC_BY_4_0		obsr168620			2023-01-24T15:29:41.815Z		CONTINENT_DERIVED_FROM_COORDINATES
3300321012	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS956369560	Animalia	Chordata	Aves	Columbiformes	Columbidae	Streptopelia	Streptopelia turtur		SPECIES	Streptopelia turtur (Linnaeus, 1758)	Streptopelia turtur		ES	Cambados	Galicia	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	42.51301	-8.81616							2017-06-22T00:00:00	22	6	2017	2495708	2495708	HUMAN_OBSERVATION	CLO	EBIRD	OBS956369560				CC_BY_4_0		obsr423329			2023-01-24T15:28:58.513Z		CONTINENT_DERIVED_FROM_COORDINATES
